,Tim,Benjamin,Marijo,Phil,Jan,Summe,Mittelwert,Folgentitel
Der Kinofilm,4,5,,,6,15,5,Kampfstern Galactica
Film: The Plan,8,8,8,8,8,40,8,"Ich liebe es, wenn ein Plan funktioniert"
Pilotfilm – Miniserie Teil 2,3,3,3,3,,12,3,Das hoffen wir alle
Razor,8,8,9,7,8,40,8,Atomic Shawn of the Dead
S1E01,6,8,8,8,,30,7.5,Schlaflos im Weltraum
S1E02,6,6,3,6,,21,5.25,Tigh auf dem Trockenen
S1E03,8,8,8,8,7,39,7.8,Starbucks Bitch und die nukleare Ohrenkrise
S1E04,7,5,3,5,5,25,5,Chamalla-Extrakt mit den grünen Streifen
S1E05,7,7,6,7,7,34,6.8,Die Zylonenfleischtheke und das vibrierende Fliwatüüt
S1E06,5,7,9,5,6,32,6.4,Aggro JAG-Tante mit Hintergrund-Trommelmusik
S1E07,4,5,,5,6,20,5,Enhance
S1E08,5,5,,4,4,18,4.5,Water Bucket Challenge
S1E09,9,,7,4,7,27,6.75,Die guten alten Übungen
S1E10,9,,9,8,8,34,8.5,Schwangerschaftskotze
S1E11,8,7,,7,,22,7.3333333333,Moderne Holoknarren
S1E12 + S1E13,8,8,,8,8,32,8,Zwei für Unterwegs
S2E01,8,6,,6,,20,6.6666666667,Redshirt
S2E02,4,4,,4,,12,4,"Kopfschuss, nachladen, ... leer"
S2E03,,6,,7,,13,6.5,
S2E04,7,,8,7,7,29,7.25,Für zwei Tropfen du Blödmann
S2E05,6,,6,6,6,24,6,War nicht immer langweilig
S2E06,7,6,5,,7,25,6.25,Das hört jetzt auf
S2E07,7,7,7,,7,28,7,Hypochonder und Astralkörper
S2E08,9,8,6,8,9,40,8,Lucy Lawless und die nackten Weltraumärsche
S2E09,6,7,8,6,10,37,7.4,Chief Bilbo und die Logikbombe
S2E10,9,9,9,9,,36,9,Mit dem Kopf durch die Wand
S2E11,8,6,6,,,20,6.6666666667,Mexican Standoff am Kindertisch
S2E12,7,7,8,,,22,7.3333333333,"Liebe ""Zuschauer"" ..."
S2E13,7,,5,6,4,22,5.5,Krawattenträger des Jahres
S2E14,3,,2,4,3,12,3,Sherlock Lee und Snacks für Fisk
S2E15,6,7,,7,6,26,6.5,Bibi & Tina
S2E16,6,5,7,5,,23,5.75,Kill Billy
S2E17,6,6,7,7,,26,6.5,Tief Luft holen
S2E18,8,8,,9,8,33,8.25,Sexy Mom
S2E19 + S2E20,7,8,7,8,7,37,7.4,Thanks Adama
S3E01,9,8,9,7,,33,8.25,The Eye of the Tigher
S3E02,7,7,8,7,,29,7.25,Kein Funfact!
S3E03,8,7,,,8,23,7.6666666667,Admiral and Commander
S3E04,10,10,,,10,30,10,Kein guter Hitler
S3E05,8,8,8,8,8,40,8,Baltars Billy geluftschleust
S3E06,8,7,8,7,8,38,7.6,Cavil - Allein zu Haus
S3E07,8,7,,8,7,30,7.5,Schwarzer Peter
S3E08,10,8,,8,9,35,8.75,Der charismatische Katalysator mit schnödem Tuch über offenem Käfig
S3E09,3,3,2,3,,11,2.75,Technischer KO bei Klitschkos Regiedebut
S3E10,7,7,6,6,,26,6.5,Strahlende Zukunft für Ricky Richardson
S3E11,6,7,,8,5,26,6.5,Das ist eine pädagogische Entscheidung
S3E12,8,8,,8,8,32,8,Xena boxen
S3E13,7,7,,7,6,27,6.75,Baltar am Haken
S3E14,7,6,7,5,4,29,5.8,Iehovah ist überall
S3E15,7,7,5,7,,26,6.5,Sprengen!
S3E16,7,,4,8,8,27,6.75,Nicht so Arm dran
S3E17,6,,5,4,5,20,5,"11 Uhr Vater, 11 Uhr!"
S3E18,8,8,,7,8,31,7.75,Sprichwortalarm
S3E19,6,7,7,7,7,34,6.8,Es ist im Schiff!
S3E20,8,9,9,8,8,42,8.4,Vier Toaster im ironischen Nebel
S4E01,7,7,7,7,8,36,7.2,Blutiger Rasierunfall
S4E02,6,6,6,6,7,31,6.2,Wenns Pipi brennt
S4E03,7,7,,8,7,29,7.25,Rausgeblasen
S4E04,5,,5,5,5,20,5,Head Ellen
S4E05,6,5,3,,5,19,4.75,Fünf Minuten hätten gereicht
S4E06,8,4,,7,6,25,6.25,Der Vorbote des Todes
S4E07,9,7,8,8,,32,8,Sprung!
S4E08,8,8,,7,8,31,7.75,Kinderknast mit Michael
S4E09,7,8,8,6,9,38,7.6,Es wurde auch Zeit
S4E10,10,10,10,10,10,50,10,Die Drei von der Luftschleuse
S4E11,9,8,8,8,7,40,8,So uncivilized
S4E12,8,7,,7,6,28,7,Codename: Hot Dog ;-)
S4E13,10,9,10,,10,39,9.75,[Murloc gurgeln]
S4E14,10,10,9,,9,38,9.5,Schmu der Luftschleuse
S4E15,8,,8,9,9,34,8.5,Blade Runner und die alte Dame
S4E16,7,,7,6,6,26,6.5,Stärke kommt aus dem Inneren ... und Waffen!
S4E17,8,8,7,8,6,37,7.4,Mit dem Kopf durch das Waschbecken
S4E18,8,,8,7,9,32,8,Kiffen bei Cottle
S4E19,8,6,7,7,6,34,6.8,Luschis und Tim nach links
S4E20,10,10,10,10,10,50,10,Präsident Cool trifft Admiral Sowieso
S4E21,10,10,10,10,10,50,10,The Sound of Cylons
Webisodes: The Resistance,5,5,5,5,5,25,5,Für eine Handvoll Sellerie
