,Episode,Rating,Votes,Podcast_mean
0,S1E1,8.6012345679,2489,7.5
1,S1E2,7.8012345679,1870,5.25
2,S1E3,7.7012345679,1806,7.8
3,S1E4,7.8012345679,1745,5
4,S1E5,8.3012345679,1791,6.8
5,S1E6,7.7012345679,1637,6.4
6,S1E7,7.8012345679,1617,5
7,S1E8,8.1012345679,1625,4.5
8,S1E9,7.7012345679,1593,6.75
9,S1E10,8.5012345679,1633,8.5
10,S1E11,7.7012345679,1525,7.3333333333
11,S1E12,8.4012345679,1572,8
12,S1E13,8.9012345679,1690,8
13,S2E1,8.3012345679,1522,6.6666666667
14,S2E2,8.0012345679,1472,4
15,S2E3,8.0012345679,1433,6.5
16,S2E4,8.1012345679,1427,7.25
17,S2E5,7.8012345679,1419,6
18,S2E6,8.1012345679,1426,6.25
19,S2E7,8.4012345679,1466,7
20,S2E8,7.8012345679,1492,8
21,S2E9,8.3012345679,1442,7.4
22,S2E10,9.1012345679,1826,9
23,S2E11,8.8012345679,1592,6.6666666667
24,S2E12,9.0012345679,1651,7.3333333333
25,S2E13,7.6012345679,1386,5.5
26,S2E14,6.5012345679,1596,3
27,S2E15,7.4012345679,1527,6.5
28,S2E16,7.2012345679,1420,5.75
29,S2E17,7.8012345679,1375,6.5
30,S2E18,8.5012345679,1542,8.25
31,S2E19,8.1012345679,1375,7.4
32,S2E20,8.8012345679,1582,7.4
33,S3E1,8.3012345679,1681,8.25
34,S3E2,8.3012345679,1490,7.25
35,S3E3,8.3012345679,1474,7.6666666667
36,S3E4,9.2012345679,2044,10
37,S3E5,8.2012345679,1410,8
38,S3E6,7.9012345679,1370,7.6
39,S3E7,7.7012345679,1339,7.5
40,S3E8,7.4012345679,1357,8.75
41,S3E9,7.7012345679,1779,2.75
42,S3E10,7.6012345679,1357,6.5
43,S3E11,8.2012345679,1337,6.5
44,S3E12,8.3012345679,1348,8
45,S3E13,7.8012345679,1302,6.75
46,S3E14,7.1012345679,1378,5.8
47,S3E15,7.1012345679,1328,6.5
48,S3E16,7.6012345679,1336,6.75
49,S3E17,8.0012345679,1495,5
50,S3E18,7.7012345679,1312,7.75
51,S3E19,8.4012345679,1425,6.8
52,S3E20,9.3012345679,2303,8.4
53,S4E1,8.5012345679,1467,7.2
54,S4E2,8.1012345679,1229,6.2
55,S4E3,8.1012345679,1229,7.25
56,S4E4,7.6012345679,1177,5
57,S4E5,7.6012345679,1139,4.75
58,S4E6,8.1012345679,1204,6.25
59,S4E7,8.7012345679,1287,8
60,S4E8,7.8012345679,1150,7.75
61,S4E9,8.7012345679,1246,7.6
62,S4E10,9.2012345679,1605,10
63,S4E11,8.8012345679,1431,8
64,S4E12,7.9012345679,1177,7
65,S4E13,9.1012345679,1514,9.75
66,S4E14,9.2012345679,1644,9.5
67,S4E15,8.5012345679,1274,8.5
68,S4E16,7.6012345679,1155,6.5
69,S4E17,8.3012345679,1340,7.4
70,S4E18,7.9012345679,1127,8
71,S4E19,8.5012345679,1450,6.8
72,S4E20,9.0012345679,2619,10
73,S4E21,8.9012345679,53,10
