,Tim,Benjamin,Marijo,Phil,Jan,Summe,Mittelwert,Folgentitel
S1E01,6.0,8.0,8.0,8.0,,30.0,7.5,Schlaflos im Weltraum
S1E02,6.0,6.0,3.0,6.0,,21.0,5.25,Tigh auf dem Trockenen
S1E03,8.0,8.0,8.0,8.0,7.0,39.0,7.8,Starbucks Bitch und die nukleare Ohrenkrise
S1E04,7.0,5.0,3.0,5.0,5.0,25.0,5.0,Chamalla-Extrakt mit den grünen Streifen
S1E05,7.0,7.0,6.0,7.0,7.0,34.0,6.8,Die Zylonenfleischtheke und das vibrierende Fliwatüüt
S1E06,5.0,7.0,9.0,5.0,6.0,32.0,6.4,Aggro JAG-Tante mit Hintergrund-Trommelmusik
S1E07,4.0,5.0,,5.0,6.0,20.0,5.0,Enhance
S1E08,5.0,5.0,,4.0,4.0,18.0,4.5,Water Bucket Challenge
S1E09,9.0,,7.0,4.0,7.0,27.0,6.75,Die guten alten Übungen
S1E10,9.0,,9.0,8.0,8.0,34.0,8.5,Schwangerschaftskotze
S1E11,8.0,7.0,,7.0,,22.0,7.333333333333333,Moderne Holoknarren
S1E11 + S1E12,8.0,8.0,,8.0,8.0,32.0,8.0,Zwei für Unterwegs
S2E01,8.0,6.0,,6.0,,20.0,6.666666666666667,Redshirt
S2E02,4.0,4.0,,4.0,,12.0,4.0,"Kopfschuss, nachladen, ... leer"
S2E03,,6.0,,7.0,,13.0,6.5,
S2E04,7.0,,8.0,7.0,7.0,29.0,7.25,Für zwei Tropfen du Blödmann
S2E05,6.0,,6.0,6.0,6.0,24.0,6.0,War nicht immer langweilig
S2E06,7.0,6.0,5.0,,7.0,25.0,6.25,Das hört jetzt auf
S2E07,7.0,7.0,7.0,,7.0,28.0,7.0,Hypochonder und Astralkörper
S2E08,9.0,8.0,6.0,8.0,9.0,40.0,8.0,Lucy Lawless und die nackten Weltraumärsche
S2E09,6.0,7.0,8.0,6.0,10.0,37.0,7.4,Chief Bilbo und die Logikbombe
S2E10,9.0,9.0,9.0,9.0,,36.0,9.0,Mit dem Kopf durch die Wand
S2E11,8.0,6.0,6.0,,,20.0,6.666666666666667,Mexican Standoff am Kindertisch
S2E12,7.0,7.0,8.0,,,22.0,7.333333333333333,"Liebe ""Zuschauer"" ..."
S2E13,7.0,,5.0,6.0,4.0,22.0,5.5,Krawattenträger des Jahres
S2E14,3.0,,2.0,4.0,3.0,12.0,3.0,Sherlock Lee und Snacks für Fisk
S2E15,6.0,7.0,,7.0,6.0,26.0,6.5,Bibi & Tina
S2E16,6.0,5.0,7.0,5.0,,23.0,5.75,Kill Billy
S2E17,6.0,6.0,7.0,7.0,,26.0,6.5,Tief Luft holen
S2E18,8.0,8.0,,9.0,8.0,33.0,8.25,Sexy Mom
S2E19 + S2E20,7.0,8.0,7.0,8.0,7.0,37.0,7.4,Thanks Adama
S3E01,9.0,8.0,9.0,7.0,,33.0,8.25,The Eye of the Tigher
